rank,usnews_inst,inst
1,Harvard University  ,Harvard University  
1,Massachusetts Institute Of Technology (MIT)  ,Massachusetts Institute Of Technology (MIT)
1,Princeton University  ,Princeton University
1,Stanford University  ,Stanford University
1,University Of California Berkeley  ,"University Of California, Berkeley"
1,Yale University  ,Yale University
7,Northwestern University  ,Northwestern University
7,University Of Chicago  ,University Of Chicago
9,Columbia University  ,Columbia University
10,University Of Pennsylvania  ,University Of Pennsylvania
11,New York University (NYU)  ,New York University
12,University Of Californa Los Angeles (UCLA)  ,"University Of California, Los Angeles "
12,UC San Diego (UCSD)  ,"University Of California, San Diego"
12,University Of Michigan Ann Arbor  ,University Of Michigan Ann Arbor
12,University Of Wisconsin Madison  ,University Of Wisconsin-Madison
16,Cornell University  ,Cornell University  
16,Duke University  ,Duke University  
16,University Of Minnesota  Twin Cities  ,University Of Minnesota-Twin Cities
19,Brown University  ,Brown University  
20,Carnegie Mellon University ,Carnegie Mellon University 
21,University of Maryland--College Park,University Of Maryland (College Park)
21,University of Rochester,University of Rochester
23,Boston University,Boston University
23,Johns Hopkins University,Johns Hopkins University
25,Boston College,Boston College
25,Pennsylvania State University--University Park,Penn State 
27,University of Texas Austin,University Of Texas At Austin
27,Washington University in St. Louis,Washington University In St. Louis (WashU/WUSTL)
29,Michigan State University,Michigan State University
29,Ohio State University,Ohio State University
29,University of California--Davis,"University Of California, Davis"
29,University of Illinois--Urbana-Champaign,"University Of Illinois, Urbana-Champaign"
29,University of North Carolina--Chapel Hill,University Of North Carolina Chapel Hill (UNC)
29,University of Virginia,University of Virginia
35,University of Washington,University of Washington
35,Vanderbilt University,Vanderbilt University
37,University of California--Santa Barbara,"University Of California, Santa Barbara"
37,University of Southern California,University Of Southern California
39,Indiana University--Bloomington,Indiana University Bloomington
39,Texas A&M University--College Station,Texas University College Station (TAMU)
39,University of Pittsburgh,University of Pittsburgh